iter	Passed	Remaining
470	703	790
471	705	789
472	707	787
473	708	786
474	709	784
475	710	782
476	711	780
477	712	777
478	713	776
479	714	774
480	717	773
481	718	772
482	720	771
483	721	769
484	722	767
485	723	765
486	724	763
487	726	761
488	727	759
489	729	758
490	730	757
491	732	756
492	733	754
493	735	753
494	736	751
495	737	749
496	738	747
497	739	745
498	740	743
499	741	741
500	742	739
501	743	737
502	744	736
503	746	734
504	748	733
505	749	731
506	750	729
507	751	727
508	752	725
509	753	724
510	754	722
511	755	720
512	756	718
513	757	716
514	759	715
515	761	714
516	762	712
517	763	710
518	764	708
519	765	706
520	766	704
521	767	702
522	768	701
523	769	699
524	770	697
525	771	695
526	772	693
527	773	691
528	775	690
529	776	688
530	777	687
531	778	685
532	779	683
533	780	681
534	781	679
535	782	677
536	783	675
537	784	673
538	785	671
539	786	669
540	787	668
541	788	666
542	790	665
543	792	663
544	793	662
545	794	660
546	795	658
547	796	656
548	797	655
549	798	653
550	799	651
551	800	649
552	801	647
553	802	646
554	804	645
555	807	644
556	808	643
557	810	642
558	811	640
559	812	638
560	813	636
561	814	635
562	815	633
563	816	631
564	817	629
565	819	628
566	821	627
567	822	625
568	823	623
569	824	622
570	825	620
571	826	618
572	827	616
573	828	615
574	829	613
575	830	611
576	831	609
577	832	608
578	834	606
579	835	604
580	836	603
581	837	601
582	838	599
583	839	598
584	840	596
585	841	594
586	842	592
587	843	591
588	844	589
589	845	587
590	847	586
591	848	585
592	850	583
593	852	582
594	853	581
595	854	579
596	855	577
597	856	576
598	857	574
599	858	572
600	859	570
601	860	569
602	862	567
603	863	566
604	865	565
605	866	563
606	868	562
607	869	560
608	870	558
609	871	557
610	872	555
611	873	553
612	874	552
613	875	550
614	876	549
615	879	548
616	880	546
617	882	545
618	883	543
619	885	542
620	886	540
621	887	539
622	887	537
623	888	535
624	889	533
625	891	532
626	892	531
627	894	529
628	896	528
629	897	527
630	898	525
631	899	523
632	900	522
633	901	520
634	902	518
635	903	517
636	905	515
637	906	514
638	908	513
639	909	511
640	911	510
641	913	509
642	914	507
643	915	505
644	916	504
645	917	502
646	918	500
647	919	499
648	920	497
649	921	496
650	923	495
651	925	493
652	926	492
653	927	490
654	928	489
655	929	487
656	930	485
657	931	484
658	932	482
659	933	481
660	935	479
661	937	478
662	939	477
663	940	476
664	942	474
665	943	473
666	944	471
667	946	470
668	947	468
669	948	467
670	950	466
671	952	464
672	953	463
673	954	461
674	956	460
675	957	459
676	958	457
677	959	455
678	960	454
679	961	452
680	962	450
681	963	449
682	965	447
683	967	446
684	968	445
685	970	444
686	971	442
687	972	440
688	973	439
689	974	437
690	975	436
691	976	434
692	977	433
693	979	431
694	980	430
695	982	429
696	983	427
697	985	426
698	986	424
699	987	423
700	988	421
701	989	420
702	990	418
703	991	417
704	992	415
705	994	413
706	995	412
707	997	411
708	998	409
709	1000	408
710	1001	407
711	1003	405
712	1004	404
713	1005	402
714	1006	401
715	1007	399
716	1010	398
717	1012	397
718	1014	396
719	1015	395
720	1017	393
721	1018	392
722	1019	390
723	1020	389
724	1021	387
725	1023	386
726	1024	384
727	1026	383
728	1027	381
729	1028	380
730	1029	378
731	1030	377
732	1031	375
733	1033	374
734	1034	372
735	1035	371
